scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-4,4,200,84707833,101808875,112571208,65752666,118074166,16981385304,1071647458,2334883840,16384
exact-match-mixed,parallel-4,4,2000,18045875,76664750,169556958,53750,303793208,51226023882,3217638458,3300343808,1448935424
exact-match-small,parallel-4,4,5000,247583,397541,475625,32333,685833,1271482121,79757208,209600512,491520
perceptual-fail,parallel-4,4,500,31939416,59485708,73779666,15845833,83914083,17425601830,1096581666,7927971840,732004352
perceptual-pass,parallel-4,4,500,32674000,42777125,47486333,21805166,50018291,16438119422,1040749333,7927971840,453427200
png-roundtrip,parallel-4,4,1000,5529666,16721291,25789500,4989875,37477125,7877989039,495594125,7927971840,8421376
precision-1px-diff,parallel-4,4,1000,39039166,65939500,79149833,15769583,174613375,40477608035,2542087458,6120734720,3471933440
precision-50pct-diff,parallel-4,4,1000,27558916,75428625,97802125,14100666,110315291,35927189624,2256825375,7606616064,6189711360
precision-early-fail,parallel-4,4,1000,62757333,93434208,114630416,35809750,146198208,65384288114,4122362541,7927971840,4533092352
