scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,serial,1,200,14868916,17214708,20585291,12020125,22244291,2928755688,2928769958,342523904,0
exact-match-mixed,serial,1,2000,3829291,15384250,36062875,23000,132659708,11751971826,11752124583,2017804288,1374060544
exact-match-small,serial,1,5000,20083,26208,42250,16333,170500,105413439,105466833,208306176,49152
perceptual-fail,serial,1,500,15977416,18549333,21543125,11794541,36478250,7776560752,7776656458,6339887104,574636032
perceptual-pass,serial,1,500,12458625,16464625,19268958,11195666,65573125,6531348829,6531427791,6339887104,-596082688
png-roundtrip,serial,1,1000,5066166,5648750,6030208,4820375,6132416,5115475246,5115521750,6339887104,33325056
precision-1px-diff,serial,1,1000,12482375,15406375,19734791,11157083,119485458,13029654507,13029823250,6301237248,4406247424
precision-50pct-diff,serial,1,1000,12698875,15280833,16406666,11367708,19104750,13042383785,13042551625,6339887104,-210599936
precision-early-fail,serial,1,1000,32241625,40455291,83045916,29480625,178663583,34343291462,34343449125,6339887104,-3434348544
