scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-8,8,200,76432500,89076208,100180916,42105833,103834041,14486942012,919833958,2356346880,16384
exact-match-mixed,parallel-8,8,2000,18695541,64704875,146469541,43416,288192333,49791711744,3125451708,3634954240,1297039360
exact-match-small,parallel-8,8,5000,240791,385250,465416,36333,595208,1229681073,77247333,209534976,524288
perceptual-fail,parallel-8,8,500,33269083,38701708,44271416,16060166,47756208,16634652011,1053952625,8957280256,478232576
perceptual-pass,parallel-8,8,500,37327875,49500791,52124416,18520333,63136708,19066194832,1209390625,8957280256,339820544
png-roundtrip,parallel-8,8,1000,6320291,25513041,37022500,5025208,58703208,9785424794,615999416,8957280256,16859136
precision-1px-diff,parallel-8,8,1000,24687916,59674875,77257000,14359416,176479916,28729486877,1809689625,8717303808,5985320960
precision-50pct-diff,parallel-8,8,1000,23812500,40835375,51069875,14620458,64699416,25638823172,1619738333,8957280256,6629736448
precision-early-fail,parallel-8,8,1000,61748791,90405416,113749083,35486125,148314791,63819373920,4016153708,8957280256,5920079872
