scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-8,8,200,18226041,56230375,76084916,5083250,82082416,4853342143,310717583,2223636480,1947107328
exact-match-mixed,parallel-8,8,2000,6278916,30603833,63550375,12208,202753625,19162904704,1204342750,5034786816,2342535168
exact-match-small,parallel-8,8,5000,100458,213000,285666,22291,456500,555197609,34885875,209354752,1867776
perceptual-fail,parallel-8,8,500,8818833,10998208,11972333,6381833,13034708,4481965910,284316208,5034786816,737280
perceptual-pass,parallel-8,8,500,9221750,17331166,21907750,6647041,25389541,4993429581,316093083,5034786816,35045376
png-roundtrip,parallel-8,8,1000,5108750,13321041,20161583,4963791,35263000,6598801961,415483250,5034786816,33062912
precision-1px-diff,parallel-8,8,1000,1870541,7225458,14733583,1676208,25768458,2663211797,174191000,5034786816,-2083127296
precision-50pct-diff,parallel-8,8,1000,1982291,6168791,14456666,1942958,29909041,2648847910,167531083,5034786816,0
precision-early-fail,parallel-8,8,1000,25174541,37996875,67935375,20289791,138574541,27126179681,1705493500,5034786816,-97353728
