scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,serial,1,500,7240333,8146625,8362416,6375583,8505958,3677612911,3677630541,475365376,0
ipad-exact-match,serial,1,500,1118666,1256583,1343166,1011208,1393791,566017923,566028041,475365376,0
ipad-precision-99,serial,1,250,6973458,7465958,7874250,6522000,8161916,1759558627,1759573166,475365376,0
iphone-1px-diff,serial,1,1000,4126166,4322041,4420166,3716458,5444333,4130088457,4130122666,475365376,-364544000
iphone-exact-match,serial,1,1000,821208,1054958,1196916,701250,3310708,860038781,860067416,475332608,32768
iphone-perceptual-pass,serial,1,250,52791291,57621000,59965875,50789083,94089791,13401590752,13401630041,475365376,1638400
iphone-precision-99,serial,1,500,4029375,4255000,4343041,3757500,4737625,2019269247,2019284250,475365376,-16384
