scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-4,4,200,88463875,121331166,132385375,50022250,138022541,17713168724,1131267416,2180382720,32768
exact-match-mixed,parallel-4,4,2000,20577708,71038875,170789000,51041,297881083,54179910826,3405661583,3357196288,1170096128
exact-match-small,parallel-4,4,5000,176708,940875,1634541,19916,3783333,1333218033,83748333,209780736,491520
perceptual-fail,parallel-4,4,500,13889291,16188708,17460291,10945208,21868041,7012211784,442417958,3357196288,5046272
perceptual-pass,parallel-4,4,500,13477875,15064500,16930208,10308208,19866458,6783969085,428163208,3357196288,-85491712
png-roundtrip,parallel-4,4,1000,5325166,14869250,22529416,4985333,35006583,6805759006,427889958,3357196288,43417600
precision-1px-diff,parallel-4,4,1000,21757916,26722458,29884750,13373208,38183666,22003072337,1381575625,3357196288,-296878080
precision-50pct-diff,parallel-4,4,1000,21877791,27218583,30045125,14963000,37307750,22142614808,1391678750,3357196288,-23576576
precision-early-fail,parallel-4,4,1000,50957666,59308791,63940833,36135916,74201916,50969806494,3205049791,3357196288,68583424
