scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-8,8,200,84913791,114602708,145747500,45010208,168669000,17320131889,1095162166,2195062784,32768
exact-match-mixed,parallel-8,8,2000,18994291,63040583,139521708,38375,300020416,49577996538,3119268000,3114369024,1306820608
exact-match-small,parallel-8,8,5000,223541,365208,431291,43875,607541,1149576305,72116041,209518592,737280
perceptual-fail,parallel-8,8,500,15594458,24900541,32570708,11587958,34474125,8179698367,517653541,3114369024,12566528
perceptual-pass,parallel-8,8,500,14947916,23244125,31868083,11019666,32776708,7875234919,496695125,3114369024,-81739776
png-roundtrip,parallel-8,8,1000,5467000,19102166,30459541,5020250,152869541,7791843737,490257500,3114369024,38322176
precision-1px-diff,parallel-8,8,1000,21267416,26420583,29554458,14256916,35212083,21611064837,1358186041,3114369024,-256229376
precision-50pct-diff,parallel-8,8,1000,21251416,26880083,30104875,14283125,34746833,21614716672,1357315416,3114369024,-41844736
precision-early-fail,parallel-8,8,1000,51518916,66530000,110662583,36505708,151717833,53574568859,3369878166,3114369024,5472256
