scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,parallel-4,4,500,8332875,24630750,38254875,7065458,57161541,5688240550,358383208,1565802496,-46874624
ipad-exact-match,parallel-4,4,500,4453458,17191500,81322541,1214833,105017958,3889909573,245717750,1565802496,610893824
ipad-precision-99,parallel-4,4,250,8844333,22471000,31509125,7124666,58762458,2747869045,177064000,1565802496,-53837824
iphone-1px-diff,parallel-4,4,1000,4830708,13345666,18769708,4374416,32050041,6246521456,392826250,838074368,0
iphone-exact-match,parallel-4,4,1000,3249875,10164083,29017541,1056833,41267500,4546273968,285907666,838041600,362774528
iphone-perceptual-pass,parallel-4,4,250,78458125,110205583,130057500,60253833,133878875,20142061628,1286893458,1930231808,52789248
iphone-precision-99,parallel-4,4,500,4892958,14586416,24751291,4306500,37921166,3344949701,213156166,838090752,0
