scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes,render_p50_ns,render_p95_ns,read_p50_ns,read_p95_ns,decode_p50_ns,decode_p95_ns,compare_p50_ns,compare_p95_ns,attachments_p50_ns,attachments_p95_ns
pipeline-large-iphone,parallel-4,4,250,125887999,133837749,139087041,118041457,243841040,31690552845,31691902750,22424109056,17032790016,49040250,50752083,102666,143916,203750,230291,76282333,83333791,0,0
pipeline-large-iphone-fail,parallel-4,4,250,273803415,292291290,328215749,256024916,355500373,68966858876,78306070958,24464064512,-2304655360,50567083,52577375,95708,120500,160500,176250,36925958,39770750,186085875,202307458
pipeline-medium-stack,parallel-4,4,500,2508082,2868998,3162374,2396831,3260791,1279970215,1280410208,2212265984,1455095808,598166,726458,29416,53333,97416,136583,1778791,1979625,0,0
pipeline-small-flat,parallel-4,4,1000,358832,392665,445999,332498,829040,362850989,363275416,731234304,156106752,52583,61166,18250,23541,87625,97666,200833,219916,0,0
