scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-4,4,200,18157541,70229458,109966458,5783250,120669083,5094167388,323408041,2291138560,2014265344
exact-match-mixed,parallel-4,4,2000,9213250,48959166,123117958,22583,500960208,31211126129,1965624041,4752162816,1827291136
exact-match-small,parallel-4,4,5000,100041,213000,312166,15541,730916,551748649,34695625,209715200,2129920
perceptual-fail,parallel-4,4,500,9450166,11347833,12566208,7117041,14972250,4779644041,302824166,4752162816,-425984
perceptual-pass,parallel-4,4,500,9405458,10875625,13544791,7426833,14752000,4769552421,302186083,4752162816,20512768
png-roundtrip,parallel-4,4,1000,5117500,13617083,19897000,4996333,25328583,6483801614,407453333,4752162816,39550976
precision-1px-diff,parallel-4,4,1000,1881958,6375625,12875250,1854791,27241166,2604323458,173113208,4752162816,-1054359552
precision-50pct-diff,parallel-4,4,1000,2067916,6006625,10959208,2027083,17917541,2624013626,165534750,4752162816,-163840
precision-early-fail,parallel-4,4,1000,26202750,40240333,75282000,19623833,144915041,28377879759,1782871208,4752162816,-70762496
