scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-4,4,200,16918791,69039125,85045958,5233916,96919291,4989977939,316421541,2291171328,2014248960
exact-match-mixed,parallel-4,4,2000,6164125,25977041,55944375,14666,188955500,18054674975,1133668791,4194467840,1133936640
exact-match-small,parallel-4,4,5000,97500,214458,303375,18083,1029083,549171759,34515291,209747968,2244608
perceptual-fail,parallel-4,4,500,10720541,12842291,13800916,7079916,15144458,5288577413,334479208,4194467840,12566528
perceptual-pass,parallel-4,4,500,9084916,11028416,12914750,6766875,16028916,4620920912,292914875,4194467840,20725760
png-roundtrip,parallel-4,4,1000,5084458,13252708,17397416,4981416,27964000,6427286703,405028916,4194467840,33423360
precision-1px-diff,parallel-4,4,1000,1725166,6488791,11663166,1674708,24435916,2390861341,152100750,4194467840,-248348672
precision-50pct-diff,parallel-4,4,1000,2039166,6242958,10244000,1941708,16189000,2573929210,162122125,4194467840,-7372800
precision-early-fail,parallel-4,4,1000,24998416,31775666,36230083,19044291,41786375,25568029028,1608093916,4194467840,-14483456
