scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,parallel-8,8,500,7203791,7958791,10295458,6934375,11134708,3675218249,464023458,1008533504,0
ipad-exact-match,parallel-8,8,500,2841125,3691541,16999333,1422041,26896333,1595054961,200551166,1008533504,318406656
ipad-precision-99,parallel-8,8,250,7549583,7972666,8154250,6926875,8325541,1887015915,238775583,1008533504,0
iphone-1px-diff,parallel-8,8,1000,4407208,4794750,5380208,4117541,8111500,4458696041,559563250,644628480,0
iphone-exact-match,parallel-8,8,1000,2321000,2656833,3372000,1677500,5582833,2358596126,295604375,644612096,169377792
iphone-perceptual-pass,parallel-8,8,250,56646500,61401791,66419291,52410375,68910708,14292649425,1804908291,1435435008,3424256
iphone-precision-99,parallel-8,8,500,4541666,5413208,6912291,4220166,8536416,2333413757,293422208,644628480,0
