scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,serial,1,500,9804083,11609958,11722250,8329958,11763500,4908050085,4908067416,520880128,0
ipad-exact-match,serial,1,500,1359958,1432291,1719291,1253125,1857458,673577668,673590416,520880128,0
ipad-precision-99,serial,1,250,8323791,8923833,8992083,6278583,9006291,1938383329,1938390541,520880128,0
iphone-1px-diff,serial,1,1000,6661625,9802250,11114916,4665500,13731958,7269013786,7269074250,475463680,-32768
iphone-exact-match,serial,1,1000,930708,1030875,1081375,894416,1199541,942079783,942102583,475381760,49152
iphone-perceptual-pass,serial,1,250,52570541,57048375,59970125,50482791,64468625,13282416587,13282460166,583008256,-459374592
iphone-precision-99,serial,1,500,6065125,6779833,6843875,4940125,10634791,3068326003,3068347916,475463680,0
