scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-4,4,200,15294166,69122583,77634916,3830250,81731083,4273426595,271217833,2289336320,2013757440
exact-match-mixed,parallel-4,4,2000,8593791,43191458,95074708,16958,412283791,30820580194,1945439458,6365216768,3661725696
exact-match-small,parallel-4,4,5000,95125,193125,241833,11666,359833,514977181,32375541,208388096,1015808
perceptual-fail,parallel-4,4,500,9366875,12011625,14406208,6653916,16918416,4798441457,304274000,6365216768,-999424
perceptual-pass,parallel-4,4,500,9322791,11638458,13459625,6313250,14545291,4731664546,300160875,6365216768,1818624
png-roundtrip,parallel-4,4,1000,5100583,12053458,15671833,4984375,21191250,6199148499,390126333,6365216768,40222720
precision-1px-diff,parallel-4,4,1000,1356500,5495208,9199833,1305000,15408041,1896025036,120180041,6365216768,-246038528
precision-50pct-diff,parallel-4,4,1000,1356458,6959708,10287750,1302958,15536500,2155253665,136379416,6365216768,0
precision-early-fail,parallel-4,4,1000,26931250,35006916,41950583,20334083,51142250,27641236990,1738065000,6365216768,28639232
