scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes,render_p50_ns,render_p95_ns,read_p50_ns,read_p95_ns,decode_p50_ns,decode_p95_ns,compare_p50_ns,compare_p95_ns,attachments_p50_ns,attachments_p95_ns
pipeline-large-iphone,parallel-8,8,250,73998082,83766375,103485874,69808957,175921206,18884261853,18885583666,19111477248,15084503040,49953708,53402333,107333,161000,212541,241208,23336250,31099791,0,0
pipeline-large-iphone-fail,parallel-8,8,250,272239124,295500707,328903998,257563874,372945957,68709235705,70623649375,22278651904,1405698048,51307375,52945875,98666,128708,162583,182416,7226250,8961916,213546834,234066750
pipeline-medium-stack,parallel-8,8,500,2064832,2496957,2649749,1593333,2962749,1030623246,1031581166,2255241216,1435205632,716583,929583,46583,92125,123500,177166,1102375,1415166,0,0
pipeline-small-flat,parallel-8,8,1000,367874,499206,625124,305957,820541,384997621,385704041,803471360,228327424,65625,121500,24833,43083,99625,128916,172541,226458,0,0
