scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-8,8,200,86134875,111404750,116419208,34185125,126090458,17377265680,1108170041,2308603904,16384
exact-match-mixed,parallel-8,8,2000,21284333,83389583,157760208,37916,314444666,58341840543,3717747875,2962685952,1418543104
exact-match-small,parallel-8,8,5000,200583,340875,417083,30958,640500,1045015758,65564250,209666048,557056
perceptual-fail,parallel-8,8,500,34340250,42754541,56640250,25263041,63512166,17575269884,1108874000,2962685952,3997696
perceptual-pass,parallel-8,8,500,31820083,40608541,48206458,17394416,59742625,16376640531,1032317041,2962685952,-35143680
png-roundtrip,parallel-8,8,1000,5262458,25417500,44820625,4986958,109793458,9087074200,573287416,2962685952,37552128
precision-1px-diff,parallel-8,8,1000,22193625,31646541,37965041,14763500,47569291,23196736498,1455589291,2962685952,-214122496
precision-50pct-diff,parallel-8,8,1000,22056625,32396375,38432625,13758750,59907041,23070890315,1450035000,2962685952,4472832
precision-early-fail,parallel-8,8,1000,49502416,58338250,66449166,35994666,72370041,49597393890,3112541041,2962685952,31375360
