scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes,render_p50_ns,render_p95_ns,read_p50_ns,read_p95_ns,decode_p50_ns,decode_p95_ns,compare_p50_ns,compare_p95_ns,attachments_p50_ns,attachments_p95_ns
pipeline-large-iphone,serial,1,250,73616582,80506081,84187998,68358415,90323833,18543889093,18545164250,23726358528,20632649728,49322750,51727375,105875,255125,203208,234583,23795375,29491583,0,0
pipeline-large-iphone-fail,serial,1,250,269407081,294052499,396283415,255140998,569737166,68419994698,70333058583,24132419584,-9760030720,51045250,52996125,102625,125458,161708,180583,7322166,9252083,210518375,234093584
pipeline-medium-stack,serial,1,500,1888707,2430833,2563541,1456790,4345708,942657892,943427291,2252734464,1431273472,620000,901833,30958,98958,97708,172541,1127083,1325958,0,0
pipeline-small-flat,serial,1,1000,333082,428540,774291,287166,818873,349177546,349833916,804716544,227639296,56083,101208,20791,37625,89208,116000,159000,214333,0,0
