scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,serial,1,200,11125958,12014541,13050291,10472291,13352416,2245011223,2245016375,342130688,81920
exact-match-mixed,serial,1,2000,3131666,13218458,30232375,12791,55841166,9817473739,9817527166,2012921856,1246298112
exact-match-small,serial,1,5000,17166,21875,25666,15083,140083,88658360,88701625,207863808,49152
perceptual-fail,serial,1,500,10188458,12142916,18411125,9017333,27222458,5284995405,5285059166,2012921856,2080768
perceptual-pass,serial,1,500,11349166,14483833,18212958,9511291,32950791,5829111166,5829154083,2012921856,-15810560
png-roundtrip,serial,1,1000,5077375,5358958,7341500,4830041,29420125,5194719113,5194764375,2012921856,33177600
precision-1px-diff,serial,1,1000,10239833,11160375,11540916,9590666,12731458,10341942293,10342071708,2012921856,-41058304
precision-50pct-diff,serial,1,1000,10425041,11327958,11806416,9745875,12789375,10518090345,10518239708,2012921856,0
precision-early-fail,serial,1,1000,35286500,38493833,50883666,31614250,251739833,35890521787,35890719166,2012921856,-1138343936
