scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,parallel-4,4,500,7085583,7279666,7384958,6851791,7536500,3535998338,887332958,729858048,49152
ipad-exact-match,parallel-4,4,500,1527666,1777875,1984583,1208125,6080541,791580670,198071833,729808896,136478720
ipad-precision-99,parallel-4,4,250,7141583,7344916,7403708,6943500,7512000,1783346963,447046750,729890816,32768
iphone-1px-diff,parallel-4,4,1000,4204708,4341958,4403375,3953083,4920458,4201198870,1051688250,547831808,0
iphone-exact-match,parallel-4,4,1000,1209000,1373500,1730416,977916,2783041,1224623951,306825291,547815424,72646656
iphone-perceptual-pass,parallel-4,4,250,56539666,62623916,69275375,53175750,74948375,14320895953,3591916333,953450496,60096512
iphone-precision-99,parallel-4,4,500,4186875,4336500,4386458,3982208,4430916,2094779324,525744083,547831808,0
