scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,serial,1,200,3018666,3236541,3371458,2900625,3539583,608286520,608289500,274612224,49152
exact-match-mixed,serial,1,2000,1306583,7858541,11192416,8541,57953833,4680682411,4680725083,2219442176,1533853696
exact-match-small,serial,1,5000,10500,12000,13666,9208,46166,52128249,52172625,207421440,65536
perceptual-fail,serial,1,500,6229541,8443083,11315416,5503833,12985916,3257347046,3257385041,2219442176,49152
perceptual-pass,serial,1,500,6161250,8750916,10778041,5416958,12723666,3241694877,3241737416,2219442176,196608
png-roundtrip,serial,1,1000,4848250,5048458,5183458,4540958,5378125,4865230594,4865252416,2219442176,33357824
precision-1px-diff,serial,1,1000,1247583,1309291,1339000,1117333,1642083,1253083940,1253092916,2219442176,0
precision-50pct-diff,serial,1,1000,1273708,1493458,1655750,1119083,1881958,1320381183,1320393541,2219442176,-49152
precision-early-fail,serial,1,1000,24275416,26787958,28719458,22850541,32934625,24598995266,24599114500,2219442176,2129920
