scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,parallel-4,4,500,7106458,7427416,7582708,6580833,7617541,3567676336,895107958,729841664,0
ipad-exact-match,parallel-4,4,500,1554208,1825333,2166916,1109416,7137541,801860923,200685583,729841664,136445952
ipad-precision-99,parallel-4,4,250,7136666,7444750,7657541,6849791,7810000,1793875668,450072416,729858048,0
iphone-1px-diff,parallel-4,4,1000,4317500,4869750,4971375,3877125,5719125,4376911244,1096560541,547913728,0
iphone-exact-match,parallel-4,4,1000,1321708,1554750,1680083,943083,3277958,1335140131,334241000,547913728,72548352
iphone-perceptual-pass,parallel-4,4,250,55764541,57848750,58654250,52922916,60601458,13924688046,3494628791,951910400,65060864
iphone-precision-99,parallel-4,4,500,4310583,4475416,4563083,3928541,4935916,2156676248,540702208,547913728,0
