scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,parallel-8,8,500,7445666,7949125,8284541,7004458,8668416,3741420298,470276958,1008467968,16384
ipad-exact-match,parallel-8,8,500,3032625,3828083,9551125,1403875,10503416,1599741878,201005000,1008451584,318373888
ipad-precision-99,parallel-8,8,250,7616583,8086500,8463250,6974541,9300166,1904017209,241991458,1008500736,16384
iphone-1px-diff,parallel-8,8,1000,4418083,4810333,4910708,4172625,5225916,4455422467,559087416,644595712,0
iphone-exact-match,parallel-8,8,1000,2278750,2520000,2947416,1575541,5257375,2299077248,288136041,644595712,169246720
iphone-perceptual-pass,parallel-8,8,250,58420708,67937791,82751250,53017125,83257208,14928108133,1889443083,1319698432,-248627200
iphone-precision-99,parallel-8,8,500,4442375,4831166,4954875,4180083,5102208,2245657466,282678791,644595712,0
