scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes,render_p50_ns,render_p95_ns,read_p50_ns,read_p95_ns,decode_p50_ns,decode_p95_ns,compare_p50_ns,compare_p95_ns,attachments_p50_ns,attachments_p95_ns
pipeline-large-iphone,serial,1,250,72133331,83488457,118996707,66975082,153310832,18427871066,18429255083,18710298624,15504736256,49539583,52497708,107666,163708,206666,232291,22113750,28467750,0,0
pipeline-large-iphone-fail,serial,1,250,265150790,285068500,314020123,251758956,397481040,66851802933,68754176500,19589595136,-910688256,50878750,52415916,101041,126625,159125,179208,7231125,9189541,207073542,226729958
pipeline-medium-stack,serial,1,500,1459165,1895290,1994749,1314666,2140791,753315410,753938125,2253914112,1431044096,611875,861458,29708,79250,99250,157333,707916,835916,0,0
pipeline-small-flat,serial,1,1000,331374,465123,738415,279916,899374,351980349,352668916,803553280,228491264,56625,112666,21375,40125,87208,122708,160500,234250,0,0
