scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes,render_p50_ns,render_p95_ns,read_p50_ns,read_p95_ns,decode_p50_ns,decode_p95_ns,compare_p50_ns,compare_p95_ns,attachments_p50_ns,attachments_p95_ns
pipeline-large-iphone,parallel-4,4,250,70394916,76288999,79518332,66271291,89070332,17662671932,17663953958,20708966400,17460871168,48897375,50504125,98333,127250,199083,222500,20945333,26236333,0,0
pipeline-large-iphone-fail,parallel-4,4,250,272358416,292252457,331496166,256054415,337541625,68306126264,70223163000,23820845056,2001469440,53450958,60828291,100833,132916,160750,178791,7289291,8529583,208314750,227992625
pipeline-medium-stack,parallel-4,4,500,1460207,1864290,2000206,1343499,2093707,751292831,751863958,2252963840,1431355392,622375,857750,29208,81416,100750,159625,699250,839375,0,0
pipeline-small-flat,parallel-4,4,1000,344956,428790,661957,290290,825415,355202249,355854250,804241408,227655680,58583,97208,22166,35958,94583,118333,166000,200958,0,0
