scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-8,8,200,17712708,64796041,76990750,9431458,98755625,4928721479,312103291,2290597888,2014248960
exact-match-mixed,parallel-8,8,2000,7028791,29652750,69788333,15041,223533916,20261024903,1277250375,4645748736,2084569088
exact-match-small,parallel-8,8,5000,102000,211708,279708,17541,478291,560866597,35301583,209190912,1605632
perceptual-fail,parallel-8,8,500,9185958,10970416,12266458,6488875,14526416,4653214163,295343083,4645748736,704512
perceptual-pass,parallel-8,8,500,9587500,11728625,13699125,6894291,16354583,4851791078,307185000,4645748736,28672000
png-roundtrip,parallel-8,8,1000,5110041,15231541,26310500,4990083,45421000,6910262127,434450041,4645748736,33701888
precision-1px-diff,parallel-8,8,1000,1729583,6564416,9452708,1676333,21631750,2553821888,164752458,4645748736,-1260519424
precision-50pct-diff,parallel-8,8,1000,2002125,6202875,8737958,1942333,20698541,2694996058,170059291,4645748736,-49709056
precision-early-fail,parallel-8,8,1000,24810041,31105875,35805958,20426125,41824333,25371922302,1596083416,4645748736,24739840
