scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes,render_p50_ns,render_p95_ns,read_p50_ns,read_p95_ns,decode_p50_ns,decode_p95_ns,compare_p50_ns,compare_p95_ns,attachments_p50_ns,attachments_p95_ns
pipeline-large-iphone,parallel-8,8,250,127415831,134984999,141825290,119496332,145130874,32041644202,32042917250,23331291136,19770753024,49105833,51297208,101750,140125,206625,228666,77804458,84628250,0,0
pipeline-large-iphone-fail,parallel-8,8,250,284946666,302435915,365079875,261873874,524987374,71348467464,80755909000,27400552448,1812692992,57962916,60910916,95125,127791,159458,176416,37418166,39304041,189802375,207770458
pipeline-medium-stack,parallel-8,8,500,2547373,2707082,2815123,2471956,3092124,1283250893,1283677000,2210398208,1453260800,613125,678083,27916,43833,98375,123125,1805833,1894125,0,0
pipeline-small-flat,parallel-8,8,1000,366874,392541,422582,337623,865790,370351514,370774041,731201536,156106752,53666,59916,19208,25041,89125,96958,205458,220541,0,0
