scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,serial,1,200,13382958,15350500,17274541,11822708,18491291,2722188646,2722202708,342294528,65536
exact-match-mixed,serial,1,2000,3418458,13746666,34632750,12916,85988500,10635350962,10635404875,2077556736,1427701760
exact-match-small,serial,1,5000,18000,22000,25791,15083,144750,91445800,91491875,208060416,65536
perceptual-fail,serial,1,500,23648500,26687583,45916625,21034333,63707541,12089112621,12089192916,2077556736,2768896
perceptual-pass,serial,1,500,23272541,27663583,35280875,21474166,84279583,12087391961,12087470875,2077556736,-31277056
png-roundtrip,serial,1,1000,5063291,5435500,5760541,4639166,6227666,5093181032,5093233166,2077556736,33931264
precision-1px-diff,serial,1,1000,10743958,12206791,14795041,9858083,88592708,11199753458,11199916666,2077556736,-549568512
precision-50pct-diff,serial,1,1000,10956833,12027208,12851000,9905875,37658833,11051402673,11051550041,2077556736,131072
precision-early-fail,serial,1,1000,33148458,35899208,37414583,31439958,40690500,33512699091,33512869583,2077556736,638976
