scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,serial,1,200,4559458,4906250,5022750,4325166,5085833,918259274,918265041,274874368,81920
exact-match-mixed,serial,1,2000,1712958,8779666,16316791,10291,54174625,5477065195,5477118333,2539339776,1525628928
exact-match-small,serial,1,5000,13791,15458,17625,11875,18708,68316427,68359000,207618048,131072
perceptual-fail,serial,1,500,5899125,7004375,8016791,5241875,9385916,3023270288,3023294208,2539339776,-2113536
perceptual-pass,serial,1,500,5819416,6582333,7831333,5243250,9357458,2952525124,2952544083,2539339776,2965504
png-roundtrip,serial,1,1000,4825666,5038916,5164791,4483541,6877458,4846269821,4846303083,2539339776,-157941760
precision-1px-diff,serial,1,1000,1639708,1821250,1950083,1477875,2228666,1671051293,1671070625,2539339776,0
precision-50pct-diff,serial,1,1000,1894791,2196625,2272125,1722375,2664875,1934413273,1934428208,2539339776,0
precision-early-fail,serial,1,1000,22406958,24134958,25112291,21359500,27074125,22601432116,22601532500,2539339776,-175915008
