scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,serial,1,500,6968875,7164208,7296333,6475916,7911166,3496798286,3496810625,475561984,-11976704
ipad-exact-match,serial,1,500,1060333,1198250,1243916,991458,1335666,542689625,542697583,475561984,0
ipad-precision-99,serial,1,250,7064166,7300458,7950000,6518375,8570541,1773256368,1773265333,475561984,0
iphone-1px-diff,serial,1,1000,4138833,4730416,4839875,3715208,4928666,4210302301,4210337208,475561984,0
iphone-exact-match,serial,1,1000,855375,1046541,1161833,729333,2233291,872831673,872871625,475561984,-267010048
iphone-perceptual-pass,serial,1,250,52425125,55612041,58536250,50404916,59946458,13173007374,13173038166,475561984,-98304
iphone-precision-99,serial,1,500,4082958,4328541,4496041,3768750,4874000,2046756328,2046766541,475561984,-16384
