scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes,render_p50_ns,render_p95_ns,read_p50_ns,read_p95_ns,decode_p50_ns,decode_p95_ns,compare_p50_ns,compare_p95_ns,attachments_p50_ns,attachments_p95_ns
pipeline-large-iphone,parallel-8,8,250,70308832,82802332,105657540,67048082,126186790,18138523669,18139825708,22974676992,19720650752,49596208,59504500,102083,142750,205041,229541,20003500,23628458,0,0
pipeline-large-iphone-fail,parallel-8,8,250,271717124,295526415,320925666,255116291,437500707,68624964358,70572222708,22974676992,-3053568000,51841791,60375833,102291,128916,163000,181291,7556000,9469125,209550583,230302916
pipeline-medium-stack,parallel-8,8,500,1522707,2169249,2793165,1369916,4231706,820691465,821349708,2256371712,1432551424,650666,876208,31750,60041,106500,160250,725083,1073000,0,0
pipeline-small-flat,parallel-8,8,1000,339957,502790,716540,289708,889041,363171279,363877833,803471360,228425728,58250,127500,22041,49958,92041,129291,163208,231666,0,0
