scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-8,8,200,13973750,73827333,82448750,4108291,87885625,4206338106,267540916,2289369088,2013773824
exact-match-mixed,parallel-8,8,2000,5364500,28767583,87097166,10125,199423041,18511006212,1164982541,6206930944,3500703744
exact-match-small,parallel-8,8,5000,99500,208000,284708,15208,389041,545211480,34262333,208404480,1015808
perceptual-fail,parallel-8,8,500,9288041,12110166,14342416,6855541,15923041,4737793841,299544833,6206930944,-1736704
perceptual-pass,parallel-8,8,500,9282458,11531958,13860333,6707416,15613625,4732841172,301504916,6206930944,5537792
png-roundtrip,parallel-8,8,1000,5091875,12348791,16358416,4981708,19053708,6171922315,388321416,6206930944,31866880
precision-1px-diff,parallel-8,8,1000,1350833,4185791,5643791,1312291,8815833,1709125786,107698625,6206930944,-159383552
precision-50pct-diff,parallel-8,8,1000,1372083,4255625,7361625,1303583,10462041,1762240468,110950875,6206930944,32768
precision-early-fail,parallel-8,8,1000,27035708,34847125,39936333,20838375,47091916,27797171957,1759826750,6206930944,22167552
