scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes,render_p50_ns,render_p95_ns,read_p50_ns,read_p95_ns,decode_p50_ns,decode_p95_ns,compare_p50_ns,compare_p95_ns,attachments_p50_ns,attachments_p95_ns
pipeline-large-iphone,serial,1,250,125888790,139551665,212587791,116803916,249847998,32182005094,32183287000,22203547648,18613944320,47598458,51136875,110208,189041,197125,247166,77906791,89784291,0,0
pipeline-large-iphone-fail,serial,1,250,268121791,284696498,311998748,253134790,403056415,67558087337,76640531291,23072358400,-1635532800,49986666,51505583,100375,121500,158875,176166,36018833,38905666,181651500,196309917
pipeline-medium-stack,serial,1,500,2423123,2752624,2875165,2280666,3180248,1231306950,1231698875,2210136064,1452982272,575666,690250,27583,48291,90833,123541,1720958,1911625,0,0
pipeline-small-flat,serial,1,1000,340665,387123,468624,326665,1000999,348445713,348854291,731250688,156106752,49041,59833,18041,25791,81708,95958,189041,221166,0,0
