scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
ipad-1px-diff,parallel-8,8,500,8077166,21316833,31150000,7069250,38574666,5003223750,316234875,1565835264,0
ipad-exact-match,parallel-8,8,500,4270625,16749791,22498875,1362708,33967291,3069457089,194519541,1565835264,610893824
ipad-precision-99,parallel-8,8,250,7954666,21005833,32674708,7055625,42005416,2570865418,165684875,1565835264,0
iphone-1px-diff,parallel-8,8,1000,4762625,12322041,22606125,4296291,48415333,6153210158,386887291,838107136,0
iphone-exact-match,parallel-8,8,1000,3180041,9177625,13823750,1988708,28438083,4119108371,258713666,838074368,362774528
iphone-perceptual-pass,parallel-8,8,250,81833666,106598500,123384250,60594583,143940458,20821163045,1328722041,1861582848,-819200
iphone-precision-99,parallel-8,8,500,4777750,13450791,21780291,4313125,36288458,3074708794,194798541,838123520,0
