scenario,mode,parallelism,iterations,p50_ns,p95_ns,p99_ns,min_ns,max_ns,total_ns,wall_ns,peak_rss_bytes,rss_delta_bytes
exact-match-large,parallel-4,4,200,90277625,171963000,196735625,48079208,208969333,19384557143,1230266958,2028257280,16384
exact-match-mixed,parallel-4,4,2000,21307458,74161083,166250166,47416,328055583,54550783504,3474704375,3053338624,1322827776
exact-match-small,parallel-4,4,5000,204458,374750,474000,26041,733208,1077928787,67658166,210337792,409600
perceptual-fail,parallel-4,4,500,29312333,39022375,45765541,23467833,46612625,14976407700,945564666,3053338624,7454720
perceptual-pass,parallel-4,4,500,26582083,37942916,50662083,22437833,57100166,14150868173,893761208,3053338624,-56573952
png-roundtrip,parallel-4,4,1000,5106875,12491250,17209333,4985041,25267666,6596604838,415399958,3053338624,36651008
precision-1px-diff,parallel-4,4,1000,22504791,29013833,32992125,15411833,37292541,23000901296,1445030666,3053338624,-254869504
precision-50pct-diff,parallel-4,4,1000,22804458,30935041,35679708,13789500,40146375,23479865214,1473487541,3053338624,98304
precision-early-fail,parallel-4,4,1000,53104333,79495833,93837500,36891500,119029166,55248786862,3470133291,3053338624,-15204352
